taxon	rank	distance	rate
Arabidopsis_thaliana	Species	213.506275	0.001031
Arabidopsis_thaliana	Species	184.324471	0.000474
Arabidopsis_thaliana	Species	184.324471	0.000532
Arabidopsis_thaliana	Species	555.935221	0.000544
Arabidopsis_thaliana	Species	153.81593	0.000481
Arabidopsis_thaliana	Species	153.81593	0.000509
Arabidopsis_thaliana	Species	872.72913	0.000475
Arabidopsis_thaliana	Species	639.52236	0.000471
Arabidopsis_thaliana	Species	85.773232	0.000935
Arabidopsis_thaliana	Species	85.773232	0.000976
Arabidopsis_thaliana	Species	62.141237	0.001004
Arabidopsis_thaliana	Species	62.141237	0.001023
Arabidopsis_thaliana	Species	222.014341	0.000922
Arabidopsis_thaliana	Species	86.105601	0.000904
Arabidopsis_thaliana	Species	86.105601	0.000928
Arabidopsis_thaliana	Species	165.938878	0.000969
Arabidopsis_thaliana	Species	253.821804	0.000877
Arabidopsis_thaliana	Species	253.821804	0.000838
Arthropoda	Phylum	41.011718	0.000741
Arthropoda	Phylum	580.131079	0.000747
Arthropoda	Phylum	580.131079	0.00075
Ascomycota	Phylum	447.961531	0.000688
Ascomycota	Phylum	682.371326	0.000732
Atherinomorpha	Order	100.031469	0.001238
Atherinomorpha	Order	100.031469	0.001201
Atherinomorpha	Order	82.031546	0.000872
Atherinomorpha	Order	82.031546	0.000887
Atherinomorpha	Order	84.801391	0.001132
Atherinomorpha	Order	84.801391	0.001098
Atherinomorpha	Order	70.368752	0.000982
Atherinomorpha	Order	70.368752	0.000972
Atherinomorpha	Order	415.829965	0.000317
Atherinomorpha	Order	415.829965	0.000231
Atherinomorpha	Order	85.316854	0.000901
Atherinomorpha	Order	85.316854	0.00089
Atherinomorpha	Order	114.770008	0.001248
Atherinomorpha	Order	114.770008	0.001259
Atherinomorpha	Order	103.856601	0.000838
Atherinomorpha	Order	103.856601	0.000806
Atherinomorpha	Order	50.078167	0.002884
Atherinomorpha	Order	50.078167	0.002927
Atherinomorpha	Order	128.788514	0.000516
Atherinomorpha	Order	128.788514	0.000472
Atherinomorpha	Order	134.691445	0.000723
Atherinomorpha	Order	134.691445	0.000752
Atherinomorpha	Order	67.334624	0.001865
Atherinomorpha	Order	67.334624	0.001936
Atherinomorpha	Order	69.867686	0.001425
