taxon	rank	distance	rate
Drosophila	Genus	70.285933	0.001819
Drosophila	Genus	70.285933	0.001745
Drosophila	Genus	146.230226	0.000803
Drosophila	Genus	146.230226	0.00068
Drosophila	Genus	85.160697	0.001793
Drosophila	Genus	163.117489	0.000463
Drosophila	Genus	163.117489	0.000444
Drosophila	Genus	224.185526	0.000431
Drosophila	Genus	354.891751	0.000815
Drosophila	Genus	133.467251	0.0008
Drosophila	Genus	133.467251	0.000804
Drosophila	Genus	388.057611	0.000473
Drosophila	Genus	42.020061	0.001629
Drosophila	Genus	42.020061	0.001581
Drosophila	Genus	55.979368	0.001537
